Field,Option
pronouns,He/Him
pronouns,He/They
pronouns,She/He
pronouns,She/He/They
pronouns,She/Her
pronouns,She/They
pronouns,They/He
pronouns,They/She
pronouns,They/Them
gender_identity,Agender
gender_identity,Androgynous
gender_identity,Bigender
gender_identity,Cisgender
gender_identity,Demiboy
gender_identity,Demigirl
gender_identity,Genderfluid
gender_identity,Genderqueer
gender_identity,Intersex
gender_identity,Neutrois
gender_identity,Non-binary
gender_identity,Pangender
gender_identity,Third Gender
gender_identity,Transgender
gender_identity,Two-spirit
romantic,Biromantic
romantic,Demiromantic
romantic,Greyromantic
romantic,Heteroromantic
romantic,Homoromantic
romantic,Lithromantic
romantic,Monogamy
romantic,Panromantic
sexual,Androsexual
sexual,Asexual
sexual,Autosexual
sexual,Bisexual
sexual,Demisexual
sexual,Greysexual
sexual,Gynosexual
sexual,Heterosexual
sexual,Homosexual
sexual,Lithsexual
sexual,Pansexual
sexual,Polysexual
sexual,Queer
sexual,Sapiosexual
sexual,Skoliosexual
relationship_type,Aromantic
relationship_type,Asexual
relationship_type,Casual Relationship
relationship_type,Co-parenting
relationship_type,Dom/sub (d/s)
relationship_type,Friends With Benefits
relationship_type,Group Marriage
relationship_type,Long-distance Relationship (ldr)
relationship_type,Monogamy
relationship_type,Open Relationship
relationship_type,Platonic Relationship
relationship_type,Polyamory
relationship_type,Polyandry
relationship_type,Polygamy
relationship_type,Polygyny
relationship_type,Primary/secondary
relationship_type,Quad
relationship_type,Queerplatonic Relationship (qpr)
relationship_type,Relationship Anarchy
relationship_type,Swinging
relationship_type,Triad
sex,Androgyne
sex,Female
sex,Intersex
sex,Male
accent,Boston
accent,Brazilian Portuguese
accent,Californian
accent,Canadian
accent,Caribbean
accent,Chicago
accent,Chicano English (Mexican-American)
accent,Chinese
accent,Dutch
accent,German
accent,Greek
accent,Hawaiian Pidgin
accent,Indian
accent,Jamaican
accent,Japanese
accent,Korean
accent,Midwestern
accent,Minnesotan
accent,New Orleans (cajun)
accent,New York
accent,New Zealand
accent,Pacific Northwest
accent,Philadelphia
accent,Polish
accent,Russian
accent,South African
accent,Southern Appalachian
accent,Southern Californian (SoCal)
accent,Texan
accent,Turkish
accent,Valley (California)
accent,Welsh
nationality,Afghan
nationality,American
nationality,Argentine
nationality,Australian
nationality,Austrian
nationality,Bangladeshi
nationality,Belgian
nationality,Bosnian
nationality,Brazilian
nationality,British
nationality,Bulgarian
nationality,Canadian
nationality,Chilean
nationality,Chinese
nationality,Colombian
nationality,Costa Rican
nationality,Croatian
nationality,Cuban
nationality,Czech
nationality,Danish
nationality,Dominican
nationality,Dutch
nationality,Egyptian
nationality,Emirati
nationality,Ethiopian
nationality,Filipino
nationality,Finnish
nationality,French
nationality,German
nationality,Greek
nationality,Haitian
nationality,Hungarian
nationality,Icelandic
nationality,Inariko
nationality,Indian
nationality,Indonesian
nationality,Iranian
nationality,Iraqi
nationality,Irish
nationality,Israeli
nationality,Italian
nationality,Jamaican
nationality,Japanese
nationality,Jordanian
nationality,Kenyan
nationality,Konohagakure
nationality,Korean
nationality,Lebanese
nationality,Malaysian
nationality,Mexican
nationality,Mongolian
nationality,Moroccan
nationality,New Zealander (Kiwi)
nationality,Nigerian
nationality,Norwegian
nationality,Pakistani
nationality,Palestinian
nationality,Panamanian
nationality,Peruvian
nationality,Polish
nationality,Portuguese
nationality,Romanian
nationality,Rudania
nationality,Russian
nationality,Saudi Arabian
nationality,Scottish
nationality,Serbian
nationality,Singaporean
nationality,South African
nationality,Spanish
nationality,Sri Lankan
nationality,Sun Empire
nationality,Sunagakure
nationality,Swedish
nationality,Swiss
nationality,Syrian
nationality,Thai
nationality,Trinidadian
nationality,Turkish
nationality,Ukrainian
nationality,Venezuelan
nationality,Vhintl
nationality,Vietnamese
nationality,Welsh
ethnicity_race,African
ethnicity_race,African Descent
ethnicity_race,Afro-Caribbean
ethnicity_race,Afro-Latinx
ethnicity_race,Arab
ethnicity_race,Armenian
ethnicity_race,Ashkenazi Jewish
ethnicity_race,Asian
ethnicity_race,Asian Descent
ethnicity_race,Australian Aboriginal
ethnicity_race,Basque
ethnicity_race,Bengali
ethnicity_race,Berber
ethnicity_race,Bhutanese
ethnicity_race,Brazilian
ethnicity_race,Burmese
ethnicity_race,Cambodian
ethnicity_race,Caribbean
ethnicity_race,Caucasian
ethnicity_race,Caucasian / Pacific Islander
ethnicity_race,Chicano
ethnicity_race,Chinese
ethnicity_race,Creole
ethnicity_race,Cuban
ethnicity_race,Dominican
ethnicity_race,Druze
ethnicity_race,Eastern European
ethnicity_race,Egyptian
ethnicity_race,Ethiopian
ethnicity_race,Finnish
ethnicity_race,First Nations
ethnicity_race,French
ethnicity_race,German
ethnicity_race,German Descent
ethnicity_race,Gerudo / Sheikah
ethnicity_race,Ghanaian
ethnicity_race,Greek Descent
ethnicity_race,Guatemalan
ethnicity_race,Haitian
ethnicity_race,Hmong
ethnicity_race,Hylian
ethnicity_race,Icelandic
ethnicity_race,Igbo
ethnicity_race,Indigenous Australian
ethnicity_race,Indigenous Canadian
ethnicity_race,Inuit
ethnicity_race,Iranian
ethnicity_race,Iraqi
ethnicity_race,Israeli
ethnicity_race,Italian
ethnicity_race,Italian/Chinese
ethnicity_race,Japanese
ethnicity_race,Japanese/British
ethnicity_race,Jewish
ethnicity_race,Kazakh
ethnicity_race,Korean
ethnicity_race,Kurdish
ethnicity_race,Latinx
ethnicity_race,Lebanese
ethnicity_race,Lithuanian
ethnicity_race,Lithuanian / Romanian
ethnicity_race,Lithuanian/Mediterranean/French/Arabian
ethnicity_race,Lithuanian/Romanian/French/Arabian
ethnicity_race,Maori
ethnicity_race,Mayan
ethnicity_race,Mediterranean
ethnicity_race,Mediterranean Caucasian Mix
ethnicity_race,Mediterranean Descent
ethnicity_race,Meowth
ethnicity_race,Mestizo
ethnicity_race,Mexican
ethnicity_race,Mexican-American
ethnicity_race,Middle Eastern
ethnicity_race,Mongolian
ethnicity_race,Moravian
ethnicity_race,Nigerian
ethnicity_race,Pacific Islander
ethnicity_race,Palestinian
ethnicity_race,Pashtun
ethnicity_race,Persian
ethnicity_race,Polynesian Descent
ethnicity_race,Portuguese
ethnicity_race,Punjabi
ethnicity_race,Quechua
ethnicity_race,Roma
ethnicity_race,Romanian
ethnicity_race,Russian
ethnicity_race,Samoan
ethnicity_race,Sardinian
ethnicity_race,Scandinavian
ethnicity_race,Scanner
ethnicity_race,Sephardic Jewish
ethnicity_race,Sicilian
ethnicity_race,Somali
ethnicity_race,South Asian
ethnicity_race,Southeast Asian
ethnicity_race,Swahili
ethnicity_race,Syrian
ethnicity_race,Tibetan
ethnicity_race,Tlingit
ethnicity_race,Tongan
ethnicity_race,Turkish
ethnicity_race,Uyghur
ethnicity_race,Venezuelan
ethnicity_race,Vietnamese
ethnicity_race,West African
ethnicity_race,White
ethnicity_race,Yoruba
species,Android
species,Chimera
species,Demon
species,Dragon
species,Elf
species,Gijinka
species,God
species,Golem
species,Human
species,Humanoid Machine
species,Mosaic
species,Numen
species,Saiyan
species,Shadow
species,Tabaxi
species,Werewolf
species,Yokai
species,Zora
eye_color,Ash
eye_color,Azure
eye_color,Black
eye_color,Black/Silver
eye_color,Blood
eye_color,Blue
eye_color,Brown
eye_color,Bubblegum
eye_color,Burnt
eye_color,Cardinal
eye_color,Carmine
eye_color,Coral
eye_color,Crimson
eye_color,Deep
eye_color,Espresso
eye_color,Gold
eye_color,Gray
eye_color,Green
eye_color,Green/Pink
eye_color,Ice
eye_color,Indigo
eye_color,Lemon
eye_color,Light
eye_color,Lilac
eye_color,Lime
eye_color,Multi
eye_color,Orange
eye_color,Pink
eye_color,Purple
eye_color,Red
eye_color,Yellow
hair_color,Ash
hair_color,Baby
hair_color,Beige
hair_color,Black
hair_color,Black/Silver
hair_color,Blonde
hair_color,Blue
hair_color,Brown
hair_color,Cobalt
hair_color,Cool
hair_color,Dark
hair_color,Dusty
hair_color,Dusty Rose
hair_color,Fern
hair_color,Gray
hair_color,Green
hair_color,Jade
hair_color,Medium
hair_color,Neutral
hair_color,Olive
hair_color,Orange
hair_color,Pink
hair_color,Pumpkin
hair_color,Purple
hair_color,Silver
hair_color,Soft
hair_color,Tawny
hair_color,White
skin_tone,Albino
skin_tone,Amber
skin_tone,Ashen
skin_tone,Black
skin_tone,Bronze
skin_tone,Brown
skin_tone,Caramel
skin_tone,Chestnut
skin_tone,Copper
skin_tone,Dark Brown
skin_tone,Deep Brown
skin_tone,Ebony
skin_tone,Fair
skin_tone,Golden
skin_tone,Honey
skin_tone,Ivory
skin_tone,Light
skin_tone,Light Beige
skin_tone,Mahogany
skin_tone,Medium
skin_tone,Olive
skin_tone,Pale
skin_tone,Porcelain
skin_tone,Rosy
skin_tone,Ruddy
skin_tone,Sable
skin_tone,Sienna
skin_tone,Tan
occupation,Abbot/abbess
occupation,Abecedarian
occupation,Abjurer
occupation,Acater
occupation,Accoucheur/obstetrician/midwife
occupation,Accountant
occupation,Accoutrements/coinsmith
occupation,Acolyte
occupation,Acrobat
occupation,Actor
occupation,Actuary
occupation,Acupuncturist
occupation,Administrator
occupation,Admiral
occupation,Adventurer
occupation,Advertising Executive
occupation,Aerialist/trapezist
occupation,Affeeror
occupation,Agister
occupation,Air Traffic Controller
occupation,Aircraft Engineer
occupation,Alchemist
occupation,Alderman
occupation,Alienist
occupation,Almoner
occupation,Anaesthetist
occupation,Animal Breeder
occupation,Animal Collector/monster Collector
occupation,Animal/monster Handler
occupation,Anthropologist
occupation,Antique Dealer
occupation,Apothecary
occupation,Appraiser
occupation,Apprentice
occupation,Arborist
occupation,Archaeologist
occupation,Archbishop
occupation,Architect
occupation,Archivist
occupation,Archmage
occupation,Armorer
occupation,Aromatherapist
occupation,Arranger
occupation,Art Critic
occupation,Art Dealer
occupation,Art Historian
occupation,Art Therapist
occupation,Artificer
occupation,Artist
occupation,Arts / Artists / Artistic
occupation,Assassin
occupation,Assay Master
occupation,Assayer
occupation,Assembly Line Worker
occupation,Assistant
occupation,Astrologer
occupation,Astronomer
occupation,Athlete
occupation,Au Pair
occupation,Auctioneer
occupation,Auditor
occupation,Author
occupation,Baggage Handler
occupation,Bagnio Keeper
occupation,Bailiff
occupation,Baker
occupation,Baler
occupation,Bandit
occupation,Bank Clerk
occupation,Bank Manager
occupation,Banker
occupation,Bar Staff
occupation,Barber
occupation,Bard
occupation,Barkeep
occupation,Barmaid/barboy
occupation,Baron/baroness
occupation,Barrister
occupation,Beekeeper
occupation,Beggar/pauper
occupation,Billboard Poster
occupation,Biochemist
occupation,Biologist
occupation,Bishop
occupation,Blacksmith
occupation,Bladesmith
occupation,Blood Hunter/monster Hunter
occupation,Bloodletter
occupation,Boat Builder
occupation,Boatman
occupation,Bodyguard
occupation,Bone Oracle
occupation,Bookbinder
occupation,Bookkeeper
occupation,Bookmaker
occupation,Bosun
occupation,Botanist
occupation,Bottler
occupation,Bouncer
occupation,Bounty Hunter
occupation,Bowyer
occupation,Breeder
occupation,Brewer
occupation,Brewery Worker
occupation,Brick Mason / Bricklayer / Mason
occupation,Bricklayer
occupation,Brickmaker
occupation,Broadcaster
occupation,Broom Maker
occupation,Brothel Keeper
occupation,Bug Catcher
occupation,Builder
occupation,Building Labourer
occupation,Burglar
occupation,Bus Driver
occupation,Business Consultant
occupation,Business Owner
occupation,Busker/street Musician
occupation,Butcher
occupation,Butler
occupation,Cabbie/wagoner
occupation,Cabin Boy/cabin Girl
occupation,Cabin Crew
occupation,Cabinet Maker
occupation,Calligraphist
occupation,Camera Operator
occupation,Candlemaker
occupation,Cantor
occupation,Captain
occupation,Car Dealer
occupation,Car Wash Attendant
occupation,Caravaneer
occupation,Cardinal
occupation,Care Assistant
occupation,Career Criminal
occupation,Careers Advisor
occupation,Caregiver
occupation,Caretaker
occupation,Carpenter
occupation,Carpet Fitter
occupation,Carter
occupation,Cartographer
occupation,Cartoonist
occupation,Cartwright
occupation,Cashier
occupation,Castellan
occupation,Casual Worker
occupation,Catering Staff
occupation,Cavalryman/cavalier
occupation,Celebrity
occupation,Cemetery Worker
occupation,Ceo
occupation,Chancellor
occupation,Chandler
occupation,Chaplain
occupation,Charcoal Maker
occupation,Charioteer
